mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0.0754547119140625,0.0,0.005500316619873047,0.0,0.7,0.1,3,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1394546.9011627906,-1394546.9011627906,0.0,205
0.03391146659851074,0.0,0.006135702133178711,0.0,0.7,0.1,4,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.7}",-1157339.6104651163,-1157339.6104651163,0.0,40
0.04029107093811035,0.0,0.007138490676879883,0.0,0.7,0.1,4,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",-1237509.8313953488,-1237509.8313953488,0.0,96
0.04130077362060547,0.0,0.005358219146728516,0.0,0.7,0.1,4,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",-1272414.1686046512,-1272414.1686046512,0.0,130
0.07628417015075684,0.0,0.009033203125,0.0,0.7,0.1,4,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.7}",-1189294.1046511629,-1189294.1046511629,0.0,67
0.08976578712463379,0.0,0.006212711334228516,0.0,0.7,0.1,4,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-1308959.7412790698,-1308959.7412790698,0.0,150
0.07883906364440918,0.0,0.008168697357177734,0.0,0.7,0.1,4,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",-1357177.6802325582,-1357177.6802325582,0.0,181
0.1186513900756836,0.0,0.00992894172668457,0.0,0.7,0.1,4,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.7}",-1264337.261627907,-1264337.261627907,0.0,122
0.1416308879852295,0.0,0.00939321517944336,0.0,0.7,0.1,4,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",-1377320.2529069767,-1377320.2529069767,0.0,196
0.14014053344726562,0.0,0.007341861724853516,0.0,0.7,0.1,4,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",-1407097.3372093022,-1407097.3372093022,0.0,209
0.06535983085632324,0.0,0.012715578079223633,0.0,0.7,0.1,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-1199632.3720930233,-1199632.3720930233,0.0,77
0.07113885879516602,0.0,0.013667583465576172,0.0,0.7,0.1,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-1285840.296511628,-1285840.296511628,0.0,137
0.10101985931396484,0.0,0.0053327083587646484,0.0,0.7,0.1,6,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",-1169904.1511627906,-1169904.1511627906,0.0,50
0.12902164459228516,0.0,0.005690813064575195,0.0,0.7,0.1,6,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-1268658.7267441861,-1268658.7267441861,0.0,125
0.1750638484954834,0.0,0.006046295166015625,0.0,0.7,0.1,6,200,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",-1343304.4244186047,-1343304.4244186047,0.0,171
0.13252973556518555,0.0,0.00569605827331543,0.0,0.7,0.1,6,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",-1188643.191860465,-1188643.191860465,0.0,66
0.33947300910949707,0.0,0.006298542022705078,0.0,0.7,0.1,6,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-1284262.1569767443,-1284262.1569767443,0.0,135
0.3231816291809082,0.0,0.0073394775390625,0.0,0.7,0.1,6,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-1358390.5930232557,-1358390.5930232557,0.0,182
0.29303550720214844,0.0,0.0074462890625,0.0,0.7,0.1,6,300,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0}",-1194478.965116279,-1194478.965116279,0.0,73
0.044673919677734375,0.0,0.004904031753540039,0.0,0.8,0.01,3,100,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-1166536.058139535,-1166536.058139535,0.0,47
0.03714394569396973,0.0,0.0039920806884765625,0.0,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1195161.784883721,-1195161.784883721,0.0,74
0.15935492515563965,0.0,0.0032453536987304688,0.0,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1205314.2906976745,-1205314.2906976745,0.0,80
